Prov Name,Province,District,Secteur,Cellule,Village,HH
North,Amajyaruguru,Burera,Bungwe,Bungwe,Bungwe,165
North,Amajyaruguru,Burera,Bungwe,Bungwe,Buzaniro,76
North,Amajyaruguru,Burera,Bungwe,Bungwe,Gakeri,109
North,Amajyaruguru,Burera,Bungwe,Bungwe,Gatenga,101
North,Amajyaruguru,Burera,Bungwe,Bungwe,Kinihira,106
North,Amajyaruguru,Burera,Bungwe,Bungwe,Nyabyondo,136
North,Amajyaruguru,Burera,Bungwe,Bungwe,Rweru,160
North,Amajyaruguru,Burera,Bungwe,Bungwe,Zaneza,82
North,Amajyaruguru,Burera,Bungwe,Bushenya,Buhinga,116
North,Amajyaruguru,Burera,Bungwe,Bushenya,Bushenya,97
North,Amajyaruguru,Burera,Bungwe,Bushenya,Gifumba,115
North,Amajyaruguru,Burera,Bungwe,Bushenya,Mbuga,153
North,Amajyaruguru,Burera,Bungwe,Bushenya,Ryamayaya,151
North,Amajyaruguru,Burera,Bungwe,Mudugari,Buzaniro,88
North,Amajyaruguru,Burera,Bungwe,Mudugari,Kivumo,72
North,Amajyaruguru,Burera,Bungwe,Mudugari,Mubuga,102
North,Amajyaruguru,Burera,Bungwe,Mudugari,Rubayo,113
North,Amajyaruguru,Burera,Bungwe,Mudugari,Sangabuzi,87
North,Amajyaruguru,Burera,Bungwe,Mudugari,Vunga,108
North,Amajyaruguru,Burera,Bungwe,Tumba,Byorera,131
North,Amajyaruguru,Burera,Bungwe,Tumba,Karwema,146
North,Amajyaruguru,Burera,Bungwe,Tumba,Mubuga,146
North,Amajyaruguru,Burera,Bungwe,Tumba,Murambo,141
North,Amajyaruguru,Burera,Bungwe,Tumba,Mutungo,76
North,Amajyaruguru,Burera,Bungwe,Tumba,Nama,115
North,Amajyaruguru,Burera,Bungwe,Tumba,Nyarukore,147
North,Amajyaruguru,Burera,Bungwe,Tumba,Tumba,168
North,Amajyaruguru,Burera,Butaro,Gatsibo,Gafumba,77
North,Amajyaruguru,Burera,Butaro,Gatsibo,Gahuye,91
North,Amajyaruguru,Burera,Butaro,Gatsibo,Gasebeya,103
North,Amajyaruguru,Burera,Butaro,Gatsibo,Gatare,123
North,Amajyaruguru,Burera,Butaro,Gatsibo,Gatovu,124
North,Amajyaruguru,Burera,Butaro,Gatsibo,Kadehero,100
North,Amajyaruguru,Burera,Butaro,Gatsibo,Kagano,111
North,Amajyaruguru,Burera,Butaro,Gatsibo,Kaniga,106
North,Amajyaruguru,Burera,Butaro,Gatsibo,Kanyoni,126
North,Amajyaruguru,Burera,Butaro,Gatsibo,Kindoyi,86
North,Amajyaruguru,Burera,Butaro,Gatsibo,Murambi,76
