"","Prov.Name","Province","District","Secteur","Cellule","Village","HH","Dist.Water","Vaccinated","HH.Size","HH.Size.Adult","Prim.School.M","Prim.School.F","Birth.Weight","Strat.Size","Weight"
"2642","North","Amajyaruguru","Rulindo","RUKOZO","BWIMO","GATWA",143,1.34747749375274,0.893702559526488,4.99028999750762,2.05042423308845,0.253431469775099,0.0625713244787529,3.79834280876962,2741,24.4871328671329
"1346","North","Amajyaruguru","Gicumbi","Kageyo","Horezo","Nyirangoga",138,2.42577111976704,0.954852486505904,4.69934545820458,1,0.114816052012143,0.0373662123402308,3.09330153904486,2741,25.374347826087
"545","North","Amajyaruguru","Burera","Rwerere","Gacundura","Moma",142,0.649317477608265,0.988723290925399,5.13670812253601,1.80222866418786,0.160437843712697,0.050741781221749,3.43093209431337,2741,24.6595774647887
"750","North","Amajyaruguru","Gakenke","Gashenyi ","Taba ","Mwisha ",145,1.94577891147902,0.922649847022605,4.2006864020781,1.01364956743203,0.0838669151630443,0.0991965052252163,3.05172298630693,2741,24.1493793103448
"1335","North","Amajyaruguru","Gicumbi","Giti","Tanda","Nyakabungo",140,2.05801271405145,0.944633519382806,5.41720668570156,1.96368864904316,0.140593484831436,0.0667799110960096,3.14044908747189,2741,25.0118571428571
"2180","North","Amajyaruguru","Musanze","Remera","Murwa","Kamanga",209,1.97459487830268,0.93050563543114,3.15278376725459,1,0.0593291358259095,0.103242267577156,3.09788660875494,2741,16.7543540669856
"2663","North","Amajyaruguru","Rulindo","RUSIGA","KIRENGE","KININI-RUSIGA",177,1.11539307215292,0.98199040666194,4.49104570689104,1.70592013441415,0.107723710935143,0.0695513213610376,3.12671996604543,2741,19.7833898305085
"445","North","Amajyaruguru","Burera","Rugengabari","Kilibata","Bushima",149,1.86633953795508,0.821576540169836,5.92414320819845,2.78633458279289,0.20871968558674,0.114423720851678,3.20914709325875,2741,23.5010738255034
"1501","North","Amajyaruguru","Gicumbi","Muko","Kigoma","Karumuli",188,2.30520484931606,0.994503244045367,5.69461736661691,1.51714925043094,0.272367950402875,0.147131935707874,2.70105441448526,2741,18.6258510638298
"1414","North","Amajyaruguru","Gicumbi","Manyagiro","Remera","Bushinga",91,3.37656878460176,0.942737939050582,2.61914714223389,1,0.136453592975593,0.131101208516342,2.69469558689697,2741,38.4797802197802
"1691","North","Amajyaruguru","Gicumbi","Rushaki","Kamutora","Nkamba",226,2.31927384382728,0.924742328500171,5.47218682373327,2.23777562697454,0.138081201067291,0.210211665744597,2.72263888927482,2741,15.4940707964602
"2026","North","Amajyaruguru","Musanze","Muko","Cyivugiza","Kabudundu",68,1.37158143877199,0.972595304280104,3.57468397674878,1,0.146450596543591,0.0836183068895637,3.31970424233406,2741,51.495
"2420","North","Amajyaruguru","Rulindo","CYUNGO","BUREHE","SOVE",136,1.65464302651769,0.971497191381659,3.05935766363579,1,0.138008922217563,0.131662910894426,2.97535996862198,2741,25.7475
"560","North","Amajyaruguru","Burera","Rwerere","Ruconsho","Ngoma",188,2.1874108459486,0.929299396702626,5.57301640403803,2.20571972681873,0.0542697728405487,0.107245051054287,2.48126473590265,2741,18.6258510638298
"167","North","Amajyaruguru","Burera","Cyeru","Ruyange","Rihiro",75,2.63994102488479,1,4.94746729524145,1,0.186009422766751,0.0952029986288079,2.80014781140326,2741,46.6888
"2183","North","Amajyaruguru","Musanze","Remera","Rurambo","Bitsibo",113,2.82215274243093,0.944033774714892,5.04845372715571,1.01269661877194,0.10395086543662,0.191726683006096,2.7886823248767,2741,30.9881415929204
"1951","North","Amajyaruguru","Musanze","Kimonyi","Kivumu","Musezero",120,2.25076536403978,0.980268368609466,4.73225483251656,1.83897806837308,0.168711454403002,0,2.61595271291678,2741,29.1805
"883","North","Amajyaruguru","Gakenke","Mataba ","Gikombe ","Muhororo ",149,2.30006698317949,0.954433158192412,4.39726117174879,1.48984225502543,0.0576827352139659,0.0813277100945401,3.26543973965783,2741,23.5010738255034
"42","North","Amajyaruguru","Burera","Butaro","Mubuga","Biyove",79,1.73868009174036,0.8551682602,3.78485882945994,1,0.142020284173238,0.0274397103998288,3.10201793744853,2741,44.3248101265823
"2369","North","Amajyaruguru","Rulindo","BUYOGA","GITUMBA","GITABA",167,3.20437787676191,0.917120643131812,9.21133060693585,5.47305090233717,0.137669363544973,0.136619154208175,2.24076050144313,2741,20.9680239520958
"219","North","Amajyaruguru","Burera","Gatebe","Musenda","Bikumba",181,2.38860139191792,0.88715075059007,6.05871114187957,2.9088954610714,0.0957886144520269,0.144326553768834,2.79226483638522,2741,19.3461878453039
"2427","North","Amajyaruguru","Rulindo","CYUNGO","MAREMBO","RUGARAGARA",148,3.20339286947646,0.910566542717867,4.6951686373737,1.78419040740476,0.142365617192519,0.104812045370255,2.66958005441333,2741,23.6598648648649
"2069","North","Amajyaruguru","Musanze","Musanze","Garuka","Kanyaminaba",218,2.39789000448918,0.970268910743276,5.46487457077788,1.90027701695491,0.135378848023089,0.108136780501701,3.10543659501328,2741,16.0626605504587
"1893","North","Amajyaruguru","Musanze","Gacaca","Karwasa","Karambi",163,2.08771789734573,0.912256364309921,4.00807121063905,1,0.0760891118552991,0.188986448244978,3.41116096353923,2741,21.4825766871166
"2038","North","Amajyaruguru","Musanze","Muko","Cyogo","Karuyege",161,2.58110983130634,0.955280572453145,4.14819364406832,1.48606493843044,0.143543061391028,0.192435019197017,3.32181474851837,2741,21.7494409937888
"683","North","Amajyaruguru","Gakenke","Gakenke ","Kagoma ","Murambi ",254,1.44080036928524,0.866794485843383,6.34177386506566,2.2301779122985,0.0773352694314985,0.172905758649324,3.19578992759282,2741,13.786062992126
"1698","North","Amajyaruguru","Gicumbi","Rushaki","Karurama","Ngabira",117,2.63499195067492,0.928577086237787,6.62436044375639,2.94163780473892,0.064799264678743,0.202550061109223,2.91672811297513,2741,29.9287179487179
"1885","North","Amajyaruguru","Musanze","Gacaca","Kabirizi","Kabushanda",267,0.582974351163704,0.938221222182968,4.00940527852408,1,0.122161569771016,0.112019742403148,3.56860261650168,2741,13.1148314606742
"1923","North","Amajyaruguru","Musanze","Gataraga","Murago","Karurambi",407,1.325225405262,0.951191063323494,3.35926741106478,1,0.108130221974918,0.129347927099231,3.31947704950985,2741,8.60358722358722
"1244","North","Amajyaruguru","Gicumbi","Byumba","Gacurabwenge","Ruyaga",231,0.681738214462821,0.882610455212143,4.6393793520742,1,0.114362855898782,0.058478187290398,3.79153151072673,2741,15.1587012987013
"1565","North","Amajyaruguru","Gicumbi","Nyamiyaga","Kabeza","Mataba",152,2.17690037299031,0.802839960143212,5.87544459137121,2.91970058192065,0.205043883592061,0.0477569879520148,2.46141843777159,2741,23.0372368421053
"2502","North","Amajyaruguru","Rulindo","MASORO","KIGARAMA","NYAKABUNGO",171,2.78568921037888,0.976306152339594,5.6494038340976,2.97763845446614,0.127061567367548,0.13136055967667,2.88152597109469,2741,20.4775438596491
"1486","North","Amajyaruguru","Gicumbi","Mukarange","Rugerero","Rurembo",104,0,0.962595686441894,3.7350248364797,1,0.129883259028003,0.102168445688255,3.73767234406379,2741,33.6698076923077
"1076","North","Amajyaruguru","Gakenke","Nemba ","Gisozi ","Mushubi ",82,1.17098110525917,0.850346286649377,3.69007934290456,1,0.0292216602508374,0.186580079715679,2.47319684204317,2741,42.7031707317073
"1016","North","Amajyaruguru","Gakenke","Muyongwe ","Nganzo ","Vugangoma ",130,3.06908127503814,1,4.81811013411426,1.46703920562012,0.129581075869142,0.20091804548527,2.85173962992568,2741,26.9358461538462
"2014","North","Amajyaruguru","Musanze","Muhoza","Mpenge","Giramahoro",681,3.3383687409749,0.886266770427559,6.28642926480789,3.90188354354827,0.184638530763309,0.0494563112849891,2.63664711083882,2741,5.14193832599119
"1589","North","Amajyaruguru","Gicumbi","Nyankenke","Kigogo","Gakoma",123,1.90307598577181,1,2.74658331601299,1,0.215567080388938,0.110565272902849,3.47947896187308,2741,28.4687804878049
"515","North","Amajyaruguru","Burera","Rusarabuye","Kabona","Karambo",139,1.04690057078496,0.884063295052356,2.89505300383521,1,0.0696532718272569,0.120867379284492,3.23655908073976,2741,25.1917985611511
"1946","North","Amajyaruguru","Musanze","Kimonyi","Buramira","Kamugeni",199,3.46609494901437,0.883063149107135,4.41677909448317,1.09966680428874,0.151476183781498,0.180350611405613,2.87332208654188,2741,17.5962814070352
"205","North","Amajyaruguru","Burera","Gahunga","Rwasa","Kangoboka",116,2.09383414290284,0.98803086663152,3.90896694098058,1,0.0587440322594072,0.139400218072116,2.54800820532206,2741,30.186724137931
"1483","North","Amajyaruguru","Gicumbi","Mukarange","Rugerero","Kagarama",99,0.512552162142806,0.980812580890914,3.23193181090407,1,0.123753437629729,0.123363025627861,3.70548204704341,2741,35.370303030303
"754","North","Amajyaruguru","Gakenke","Janja ","Gakindo ","Kabusoro ",239,1.91428768029991,0.864708683643236,4.25497345568992,1.01923060488001,0.0689496624600503,0.128250001551222,2.91832052752805,2741,14.6512970711297
"1377","North","Amajyaruguru","Gicumbi","Kaniga","Gatoma","Rugarama",90,3.77648069999941,0.917038201211906,3.74129830855443,1,0.065792092859982,0.123701114042872,2.70532837837764,2741,38.9073333333333
"456","North","Amajyaruguru","Burera","Rugengabari","Mucaca","Mugina",100,2.80657746273435,0.896472026130448,3.70900329102261,1,0.102467516718702,0.15844288808752,2.75735823981721,2741,35.0166
"1853","North","Amajyaruguru","Musanze","Cyuve","Kabeza","Bucuzi",147,0.922018616176327,0.996207534230648,6.80672708832142,3.44904280266328,0.128036469207562,0.0920437945526396,3.14152688082426,2741,23.8208163265306
"2679","North","Amajyaruguru","Rulindo","SHYORONGI","BUGARAGARA","NYARUSHINYA",150,2.26264209159818,0.882473996087732,6.37656298743673,2.92973327932728,0.184263654584071,0.158254139876264,3.18337856804655,2741,23.3444
"2287","North","Amajyaruguru","Rulindo","BUREGA","BUTANGAMPUNDU","MUHONDO",58,1.52081902552139,0.962742543711868,7.37308924821368,3.72464701430954,0.0832479057657741,0.146896458991311,3.06237480241199,2741,60.3734482758621
"2008","North","Amajyaruguru","Musanze","Muhoza","Kigombe","Mugara",155,1.27093882019111,1,1.96009742273527,1,0.0962152439666165,0.0571202992433761,2.97566314240729,2741,22.5913548387097
"1300","North","Amajyaruguru","Gicumbi","Cyumba","Nyakabungo","Gatoki",67,2.44653110737742,0.935890458653702,6.47754141075941,3.01042230167197,0.132406779522118,0.150433334286478,2.66869976146835,2741,52.2635820895522
"654","North","Amajyaruguru","Gakenke","Cyabingo ","Muramba ","Rwobe ",115,1.64965978436014,0.943566771286052,2.55468280693245,1,0.108578561844995,0.100637044986118,3.94054138118324,2741,30.4492173913044
"1383","North","Amajyaruguru","Gicumbi","Kaniga","Mulindi","Rugenda",76,1.27570308281989,0.87038621953559,5.99253419038196,2.60027393798662,0.159461772881272,0.0870507930496412,3.30966852735088,2741,46.0744736842105
"1672","North","Amajyaruguru","Gicumbi","Rukomo","Munyinya","Kabeza",117,2.21759421911386,0.90173851422825,4.62196815515576,2.03516050996631,0.133362543929489,0.104221835446008,2.60657158344058,2741,29.9287179487179
"1812","North","Amajyaruguru","Gicumbi","Shangasha","Shangasha","Runaba",140,1.96662316292328,0.986760397929801,3.43574222049554,1,0.122145174541778,0.165924583612756,3.21901590437521,2741,25.0118571428571
"1518","North","Amajyaruguru","Gicumbi","Muko","Rebero","Ryagashaka",125,1.43825355478604,0.858955532178673,7.29899798747317,3.22227261551401,0.0206566786890373,0.158951030498084,3.2647292086563,2741,28.01328
"1614","North","Amajyaruguru","Gicumbi","Nyankenke","Rwagihura","Mwendo",106,0.61833393317184,0.91494105512388,4.09434639363983,1,0.184690252132733,0.238686294667451,3.60146530708107,2741,33.0345283018868
"15","North","Amajyaruguru","Burera","Bungwe","Mudugari","Kivumo",72,2.43419097826153,0.842476210240826,2.2321992256135,1,0.208308007342968,0.104263751805328,2.59069463028645,2741,48.6341666666667
"1067","North","Amajyaruguru","Gakenke","Nemba ","Gahinga ","Kilimbi ",87,1.09947286425329,0.836278124139376,6.73872683760785,3.01938505647868,0.112119449088286,0.104823431757307,3.36890901019137,2741,40.2489655172414
"1582","North","Amajyaruguru","Gicumbi","Nyamiyaga","Mataba","Rugarama",122,1.51066388263211,0.874925930103322,4.94790049611639,1.88628357814973,0.0830139029344641,0.110838750841259,3.39374273272033,2741,28.702131147541
"2640","North","Amajyaruguru","Rulindo","RUKOZO","BWIMO","BUSHYANA",124,2.15811785079671,0.919952740867175,4.22351112301071,1,0.148370984539251,0.124623406075658,3.03846777103695,2741,28.2391935483871
"570","North","Amajyaruguru","Gakenke","Busengo ","Birambo ","Kirwa ",143,2.02305160535984,0.950195623246523,4.30401116537082,1.22101136227231,0.0968820344874491,0.0554147433439684,3.44448688400443,2741,24.4871328671329
"756","North","Amajyaruguru","Gakenke","Janja ","Gakindo ","Rubona ",163,2.03332092296165,0.974259243703151,4.24296984556702,1,0.161124133639331,0.130196560125401,3.54825381878065,2741,21.4825766871166
"538","North","Amajyaruguru","Burera","Rusarabuye","Ruhanga","Ruhanga",70,1.97510603293777,0.93613811950857,1.93395141412116,1,0.13018575159932,0.0750034704848709,2.57777679136479,2741,50.0237142857143
"259","North","Amajyaruguru","Burera","Gitovu","Runoga","Mubuga",112,1.54063204857686,0.901326031360632,4.22099925315001,1.31775678666171,0.0829152337914004,0.107232068083348,3.09385933027369,2741,31.2648214285714
"1488","North","Amajyaruguru","Gicumbi","Mukarange","Rugerero","Ruziku",136,2.96101204348213,0.907795545261917,3.56667237678698,1,0.157336655089524,0.231234389652004,2.66225578487687,2741,25.7475
"104","North","Amajyaruguru","Burera","Cyanika","Gisovu","Gisovu",184,2.52633278112407,0.918340412383956,2.96287492964973,1,0,0.0639882224686523,3.14066832455737,2741,19.0307608695652
"2718","North","Amajyaruguru","Rulindo","TUMBA","GAHABWA","KAGUSA",136,0.920088819483718,0.940889012707236,7.15722092011767,3.69321661785697,0.183666956824666,0.0868156062744659,3.63117074298565,2741,25.7475
"453","North","Amajyaruguru","Burera","Rugengabari","Mucaca","Gahinga",145,2.60631631250352,0.929564768394334,7.20956324267357,3.70116863439501,0.162575985420826,0.0802896323397111,2.78099904850925,2741,24.1493793103448
"2719","North","Amajyaruguru","Rulindo","TUMBA","GAHABWA","MAFENE",139,2.12252663733618,0.957467959383686,6.79446893751955,3.51722341155722,0.178318068796185,0.156935608928283,2.88158184153935,2741,25.1917985611511
"2504","North","Amajyaruguru","Rulindo","MASORO","KIVUGIZA","GASENGA",223,3.15172918496308,0.845789629634945,4.38832352144951,1,0.119811628705495,0.161796750451425,2.9384081980617,2741,15.7025112107623
"1063","North","Amajyaruguru","Gakenke","Nemba ","Buranga ","Rukoji ",113,2.54371549083406,0.909959785036881,3.35012750622128,1,0.165230254262726,0.120604959188071,2.6630331678235,2741,30.9881415929204
"2222","North","Amajyaruguru","Musanze","Shingiro","Gakingo","Burengo",136,2.62908891457136,1,3.90872468159026,1,0,0.0337425286875591,2.47975655702109,2741,25.7475
"1666","North","Amajyaruguru","Gicumbi","Rukomo","Mabare","Kanyiramana",145,2.2693336853173,0.980442768338379,5.2149664566889,1,0.111656548935156,0.124465478797237,2.62345096489301,2741,24.1493793103448
"1992","North","Amajyaruguru","Musanze","Kinigi","Nyonirima","Butorwa I",203,2.32864741693408,0.972584546865504,4.09705373337039,1,0.140734795589729,0.0748613472592489,3.21145347106676,2741,17.2495566502463
"723","North","Amajyaruguru","Gakenke","Gashenyi ","Rukura ","Gahihi ",109,2.27832371272764,0.907172836324949,4.05943136176777,1,0.133117758960004,0.0762937611529002,3.16883352752799,2741,32.1253211009174
"244","North","Amajyaruguru","Burera","Gitovu","Mariba","Musekera",89,2.05049799389376,1,4.158240420344,1,0.11346389930169,0.119866311438111,2.96911927108018,2741,39.3444943820225
"858","North","Amajyaruguru","Gakenke","Kivuruga ","Ruhinga ","Kamomo ",168,1.53293901285405,0.871737187214041,5.44551273517361,1.7871458541846,0.126396889002371,0.0976480610476976,2.96800881905076,2741,20.8432142857143
"1129","North","Amajyaruguru","Gakenke","Rusasa ","Kamonyi ","Nyagahama ",138,2.616054958672,0.96945501229348,2.53906898756539,1,0.0586451819943128,0.0630489371725259,2.8866043564848,2741,25.374347826087
"2442","North","Amajyaruguru","Rulindo","KINIHIRA","KAREGAMAZI","BUHITA",155,3.04579879417214,0.941981432136092,4.37195430491472,1,0.0627471768336748,0.150676298627608,2.70761999029698,2741,22.5913548387097
"1711","North","Amajyaruguru","Gicumbi","Rutare","Gasharu","Rwimbogo",149,1.51977007969602,0.908247488772841,3.83154722013855,1,0.071484775791358,0.044920490656246,3.12026404892692,2741,23.5010738255034
"2672","North","Amajyaruguru","Rulindo","SHYORONGI","BUGARAGARA","GATIMBA",120,1.32615901840301,0.853439270474037,1.37032687813053,1,0.200389460181997,0.0574493643626989,3.05779614826889,2741,29.1805
"974","North","Amajyaruguru","Gakenke","Muhondo ","Huro ","Cura ",107,2.38736387428869,0.913146753036541,2.91094182082349,1,0.0737963989253063,0.18649614968671,2.99876760828027,2741,32.7257943925234
"1536","North","Amajyaruguru","Gicumbi","Mutete","Musenyi","Kimisugi",157,2.14050080516643,0.954690363142623,4.30041415482595,1.57685494503739,0.172197540520266,0.131980820433305,3.14986403794561,2741,22.3035668789809
"2005","North","Amajyaruguru","Musanze","Muhoza","Cyabararika","Yorodani",375,1.07675965854632,0.816623427543743,3.92211662531913,1,0.0654344677171905,0.104212527296798,2.64466360446282,2741,9.33776
"2654","North","Amajyaruguru","Rulindo","RUKOZO","MBUYE","NYARUSEBEYA",133,1.78405988075429,0.926930045474249,5.08627571379234,1.17270483694769,0.084224075304263,0.177990518356377,2.82571365892618,2741,26.3282706766917
"1834","North","Amajyaruguru","Musanze","Cyuve","Bukinanyana","Murambi",140,2.00786504924928,0.964150496072845,6.48497400801309,3.21188124568676,0.108081630713337,0.0949862479065322,3.2394185217334,2741,25.0118571428571
"86","North","Amajyaruguru","Burera","Butaro","Rusumo","Kabaya",97,1.09251110127245,0.983220347984294,3.3144004263453,1,0.0554512194843832,0.105621733595456,3.33502225869285,2741,36.099587628866
"755","North","Amajyaruguru","Gakenke","Janja ","Gakindo ","Kibonwa ",155,0.985656193568407,1,6.28215805832679,2.59009081380196,0.189671289348045,0.00692806842909358,2.97361943383603,2741,22.5913548387097
"1675","North","Amajyaruguru","Gicumbi","Rukomo","Munyinya","Munyinya",150,2.79483713401207,0.937590881826792,7.12979488981955,2.92012926382612,0.0739540536017801,0.152296106243796,3.11759022813726,2741,23.3444
"2151","North","Amajyaruguru","Musanze","Nyange","Ninda","Kabagorozi",135,0.784610723698124,0.972258556653823,1.95451665088889,1,0.1738137225669,0.0781116812025588,3.29621821444475,2741,25.9382222222222
